img_id,vote
940260562,img_1
940260562,img_1
940260562,img_1
940260562,img_1
940260562,img_2
940260562,img_2
940260562,img_2
940260562,img_2
940260562,img_1
940260562,img_1
940260562,img_1
940260562,img_1
940260562,img_2
940260562,img_1
940260562,img_1
940260562,img_2
940260562,img_2
940260562,img_1
940260562,img_2
940260562,img_1
940260563,img_2
940260563,img_1
940260563,img_2
940260563,img_2
940260563,img_2
940260563,img_2
940260563,img_1
940260563,img_2
940260563,img_2
940260563,img_1
940260563,img_2
940260563,img_2
940260563,img_2
940260563,img_2
940260563,img_1
940260563,img_2
940260563,img_1
940260563,img_2
940260563,img_2
940260563,img_2
940260564,img_1
940260564,img_2
940260564,img_1
940260564,img_2
940260564,img_1
940260564,img_2
940260564,img_2
940260564,img_2
940260564,img_2
940260564,img_1
940260564,img_2
940260564,img_2
940260564,img_1
940260564,img_2
940260564,img_1
940260564,img_1
940260564,img_2
940260564,img_1
940260564,img_1
940260564,img_2
940260565,img_1
940260565,img_1
940260565,img_2
940260565,img_1
940260565,img_2
940260565,img_2
940260565,img_2
940260565,img_2
940260565,img_2
940260565,img_1
940260565,img_2
940260565,img_1
940260565,img_1
940260565,img_1
940260565,img_2
940260565,img_2
940260565,img_2
940260565,img_2
940260565,img_1
940260565,img_1
940260566,img_1
940260566,img_1
940260566,img_1
940260566,img_2
940260566,img_2
940260566,img_2
940260566,img_2
940260566,img_2
940260566,img_2
940260566,img_1
940260566,img_1
940260566,img_2
940260566,img_1
940260566,img_1
940260566,img_2
940260566,img_1
940260566,img_1
940260566,img_1
940260566,img_1
940260566,img_2
940260567,img_1
940260567,img_2
940260567,img_1
940260567,img_1
940260567,img_1
940260567,img_2
940260567,img_2
940260567,img_2
940260567,img_2
940260567,img_2
940260567,img_2
940260567,img_1
940260567,img_1
940260567,img_2
940260567,img_2
940260567,img_1
940260567,img_2
940260567,img_1
940260567,img_1
940260567,img_1
940260568,img_1
940260568,img_2
940260568,img_1
940260568,img_2
940260568,img_2
940260568,img_1
940260568,img_2
940260568,img_1
940260568,img_1
940260568,img_2
940260568,img_1
940260568,img_1
940260568,img_2
940260568,img_2
940260568,img_1
940260568,img_2
940260568,img_2
940260568,img_2
940260568,img_2
940260568,img_2
940260569,img_2
940260569,img_2
940260569,img_1
940260569,img_1
940260569,img_2
940260569,img_1
940260569,img_2
940260569,img_1
940260569,img_1
940260569,img_2
940260569,img_1
940260569,img_1
940260569,img_2
940260569,img_2
940260569,img_1
940260569,img_2
940260569,img_1
940260569,img_1
940260569,img_1
940260569,img_2
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_2
940260570,img_1
940260570,img_2
940260570,img_1
940260570,img_2
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260570,img_1
940260571,img_2
940260571,img_1
940260571,img_1
940260571,img_2
940260571,img_2
940260571,img_1
940260571,img_2
940260571,img_2
940260571,img_2
940260571,img_1
940260571,img_2
940260571,img_1
940260571,img_1
940260571,img_2
940260571,img_1
940260571,img_1
940260571,img_1
940260571,img_1
940260571,img_1
940260571,img_2
940260572,img_1
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_2
940260572,img_1
940260572,img_1
940260572,img_2
940260572,img_2
940260572,img_1
940260573,img_2
940260573,img_1
940260573,img_2
940260573,img_2
940260573,img_2
940260573,img_2
940260573,img_1
940260573,img_2
940260573,img_2
940260573,img_2
940260573,img_2
940260573,img_2
