_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,enter_the_reasoning_for_your_decision,select_the_most_visually_appealing_design,orig__golden,answer_golden,enter_the_reasoning_for_your_decision_gold,id,select_the_most_visually_appealing_design_gold,url_img1,url_img2
940260562,4/25/2016 23:26:28,false,1968728454,,4/25/2016 23:26:03,false,neodev,0.795,31787148,MEX,14,Zapopan,189.169.6.109,QWD3E,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:27:15,false,1968728748,,4/25/2016 23:26:48,false,clixsense,0.5755,19484033,PHL,D9,Makati,119.92.172.162,good image,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:27:30,false,1968728866,,4/25/2016 23:27:10,false,clixsense,0.5886,36759610,ESP,56,Reus,88.24.67.70,Is more cool,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:28:32,false,1968729369,,4/25/2016 23:27:29,false,neodev,0.5488,32091580,BRA,07,Brasília,177.235.173.204,Is Bether,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:28:49,false,1968729533,,4/25/2016 23:28:22,false,neodev,0.6006,32887999,GRC,"","",85.73.78.65,i like more,img_2,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:28:49,false,1968729541,,4/25/2016 23:27:54,false,personaly,0.5542,33663352,ARG,01,Mar Del Plata,181.168.213.227,i like it,img_2,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:28:53,false,1968729561,,4/25/2016 23:28:03,false,neodev,0.5716,37225358,MKD,41,Skopje,77.28.162.102,better,img_2,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:30:06,false,1968729943,,4/25/2016 23:29:20,false,elite,0.5506,35275754,SRB,02,Novi Sad,24.135.242.179,nicer design,img_2,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:30:15,false,1968729994,,4/25/2016 23:28:13,false,elite,0.5778,37275192,SRB,00,Belgrade,109.92.158.52,FIRST is the most beautiful picture.,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:30:35,false,1968730094,,4/25/2016 23:29:16,false,clixsense,0.565,6833057,NLD,05,Venray,84.31.86.92,more happier,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:30:43,false,1968730154,,4/25/2016 23:28:50,false,elite,0.5668,37328891,BIH,02,Doboj,31.223.135.152,More binded then 2nd,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:32:03,false,1968730542,,4/25/2016 23:28:14,false,clixsense,0.5636,36792073,BRA,06,Juazeiro Do Norte,187.79.110.21,there is sublinhation under the words,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:32:04,false,1968730573,,4/25/2016 23:28:04,false,clixsense,0.5756,20841624,PER,15,Lima,190.43.95.13,clear,img_2,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
940260562,4/25/2016 23:32:21,false,1968730616,,4/25/2016 23:28:50,false,neodev,0.5857,31041748,TUR,26,Eskisehir,78.163.15.50,looks better,img_1,,,,2,,http://oi63.tinypic.com/4sfuxu.jpg,http://oi64.tinypic.com/330bwbk.jpg
