_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,best_design,comments_on_design_1,comments_on_design_2,_golden,better_gold,better_gold_reason,description,id,url_img1,url_img2
945897157,5/4/2016 08:57:24,1975716339,5/4/2016 08:53:04,false,prodege,1.0,36448777,USA,MD,Towson,69.250.26.166,img_1,This one is pretty.,This one is exactly the same. But I like the bad spelling.,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 09:20:45,1975725816,5/4/2016 09:18:26,false,prodege,0.7,18123036,GBR,I2,Manchester,95.172.232.40,img_1,It's an eye-catching photo,Time is spelled wrong,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 09:30:37,1975730037,5/4/2016 09:17:10,false,neodev,0.6667,11295497,GBR,Q1,Wallasey,79.69.108.119,img_1,"Image quality is good, nice photograph and colours look real.  The font is okay, although I would not have the full stop at the end of the sentence, it is not necessary in my opinion.","This image is the same as the design on the left, but there is a typo.",TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 10:00:36,1975743073,5/4/2016 09:53:47,false,instagc,0.7,21088425,USA,MI,Battle Creek,107.140.176.37,img_1,Very nice picture but not sure how it related to the  concept.,The graphic is nice but someone should learn how to spell correctly.,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 10:22:28,1975751163,5/4/2016 10:09:27,false,elite,0.68,30000442,GBR,B7,Bristol,82.33.185.181,img_1,This is perfect...,Word time is misspelled as tiem.,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 11:13:00,1975769404,5/4/2016 11:01:37,false,instagc,0.7333,18386513,USA,TN,Knoxville,98.70.108.186,img_1,Looks good. Maybe a little more intensity of the colors would make it pop better and a different font. And put an exclamation point at the end of the sentence.,This one is ruined by incorrect spelling.,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 11:31:20,1975777821,5/4/2016 11:28:04,false,fusioncash,0.7143,7012325,USA,CT,Stamford,74.88.59.238,img_1,spelling correct,spelling incorrect,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 12:06:41,1975794956,5/4/2016 12:03:04,false,elite,0.675,33969025,USA,NY,New York,162.243.220.109,img_1,nice one,its wrong text,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 12:16:06,1975799870,5/4/2016 12:13:27,false,clixsense,0.7111,7074645,USA,WA,Kirkland,73.221.254.240,img_1,yes,no,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
945897157,5/4/2016 12:21:14,1975802614,5/4/2016 12:14:57,false,prodege,0.58,8178380,GBR,H9,London,92.5.67.67,img_1,This is quite a generic picture.,'Time' is spelt as 'tiem' which is the wrong spelling.,TRUE,img_1,The second image shown had a typo.,Which of these two poster designs would look better as a motivational graphic?,0,http://i.imgur.com/AD3DgWB.jpg,http://i.imgur.com/lYoObRX.jpg
